change,regularity,process,neologism,meaning,target_sent
Morphological ,Irregular ,Acronymy ,Impadem ,‘print on demand’ ,Le livre n’est distribué qu’en impadem pour le moment.
Morphological ,Irregular ,Acronymy ,Gesderad ,‘radioactive waste management’ ,L’état délègue la gesderad à des sociétés privées
Morphological ,Irregular ,Acronymy,Licomli ,‘online order delivery’,L’entreprise a effectué la licomli en seulement deux jours.
Morphological,Irregular ,Acronymy,Lotraitex ,‘word processor’ ,Tout le monde utilise le même lotraitex à l’université.
Morphological ,Irregular ,Acronymy,Mobado ,‘database engine’ ,Les programmeurs ont changé le mobado du système de fichiers.
Morphological,Irregular ,Acronymy,Formupo ,‘greeting formula’ ,Les docteurs n’ont prononcé aucune formupo avant de m’examiner.
Morphological ,Irregular ,Reduplication,Beubeurre ,‘butter’ ,Il faudrait mettre un peu de beubeurre dans la pâte.
Morphological ,Irregular ,Reduplication,Rorot ,‘burp’ ,Le bébé n’a pas fait son rorot après son biberon.
Morphological ,Irregular ,Reduplication,Doidoigt ,‘finger’ ,Il s’est fait mal au doidoigt en réparant son jouet.
Morphological ,Irregular ,Reduplication,Fufugue ,‘runaway’ ,Léa a encore fait une petite fufugue jeudi dernier.
Morphological ,Irregular ,Blending ,Infordinateur ,‘information machine’ ,"Depuis hier, des infordinateurs sont mis à la disposition du public."
Morphological,Irregular ,Blending ,Chocolattirance ,‘chocolate appeal’ ,Les vendeurs jouent sur la chocolattirance des passants.
Morphological ,Irregular ,Blending ,Distriration ,‘distribution and catering’ ,Les supérettes se lancent dans la distriration depuis peu.
Morphological,Irregular ,Blending ,Mondiabanalisation ,‘trivialization due to globalization’ ,Le gérant est accusé de mondiabanalisation sans raison.
Morphological ,Irregular ,Blending ,Assurmonter ,‘confidently overcome’ ,Marc-Antoine a vraiment assurmonté son examen oral.
Morphological ,Irregular ,Blending ,Maigrimanger ,‘eat little’ ,Mes parents ont choisi de maigrimanger le week-end.
Morphological ,Irregular ,Blending ,Citexpliquer ,‘quote and explain’ ,Lisa ne citexplique pas ses références.
Morphological ,Irregular ,Blending ,Trahiduire ,‘betray by translating’ ,Pierre a trahiduit plusieurs phrases dans la version française.
Morphological ,Irregular ,Blending ,Trébupasser ,‘stumble and die’ ,Un grand-père a trébupassé dans l’escalier de l’hôpital.
Morphological ,Irregular ,Blending ,Ecrandormir ,‘fall asleep watching TV’ ,Mon père s’est écrandormi juste après le repas.
Morphological ,Regular ,Suffixation ,Acquiesceur ,‘somebody who agrees’ ,Une foule d’acquiesceurs a assisté au discours du président.
Morphological ,Regular ,Suffixation ,Pittoresquitude ,‘picturesqueness’ ,Les touristes sont attirés par la pittoresquitude de ces villages.
Morphological ,Regular ,Suffixation ,Emboutissure ,‘bump’ ,Charlotte a constaté des emboutissures sur son pare-choc.
Morphological ,Regular ,Suffixation ,Assombrissage ,‘darkening’ ,Le filtre rouge permet un assombrissage subtil des photos.
Morphological ,Regular ,Suffixation ,Bâtardité ,‘bastardness’ ,Les courtisans dénoncent la bâtardité du prince.
Morphological ,Regular ,Compound ,Aide-pianiste ,‘piano assistant’ ,Gaspard a été engagé comme aide-pianiste au conservatoire.
Morphological ,Regular ,Compound ,Professeur-concierge ,‘teacher and janitor’ ,Camille est professeur-concierge dans un petit collège.
Morphological ,Regular ,Compound ,Porte-pâtisserie ,‘pastry holder’ ,Mes parents ont acheté un porte-pâtisserie pour leurs clafoutis.
Morphological ,Regular ,Suffixation ,Faxation ,‘faxing’ ,Des coûts de faxation pourraient être facturés par le service.
Morphological ,Regular ,Suffixation ,Récoltement ,‘collecting’ ,Les militants procéderont au récoltement des signatures.
Morphological ,Regular ,Suffixation ,Vipérette ,‘small viper’ ,Le promeneur a été mordu par une vipérette sur le chemin.
Morphological ,Regular ,Compound ,Carriole-balai ,‘sweeper cart’ ,Mon cousin conduit la carriole-balai du cortège de mariage.
