ID,French Sentences,semantic role,syntactic position,wh-structure,trace position,status,gold_ratings
X1,a. Emile regarde par la fenêtre et voit quelque chose d’étrange. Il dit : b. Qui sont les gens qui grimpent aux arbres dans le jardin ?,,,,,baseline,4.7
X2,a. Marine s’inquiète. Elle pense que Léonie a des visions. Elle lui demande : b. Où vont les enfants que tu as vus ?,,,,,baseline,4.4
X3,a. Jules a reçu une enveloppe dans le courrier du matin. Il demande à son frère : b. Est-ce que le facteur a apporté ton paquet ?,,,,,baseline,4.5
X4,a. Le fils d’Esmée lui demande de marcher plus vite. Elle s’énerve : b. Pourquoi faut-il toujours se dépêcher pour tout ?,,,,,baseline,4.9
X5,a. Zelda et sa soeur sont à un concert. Zelda lui demande : b. Où est-ce que tu connais le gars qui joue du banjo ?,,,,,baseline,0.8
X6,a. Le professeur Zébulon voit que son étudiant est occupé à lire un article sur un auteur qu’il pense connaître. Il lui demande : b. De qui as-tu lu l’article qui parle ?,,,,,baseline,0.1
X7,"a. Hector était propriétaire de plusieurs maisons, qu’il avait achetées à des époques différentes. Ses héritiers essayent d’identifier les propriétés à partir de photos. Ils se penchent sur la photo d’une belle maison art déco et demandent au notaire : b. Quand est-ce que c’est la maison qu’il a achetée ?",,,,,baseline,0.1
X8,"a. Claire et Claude parlent du peintre Manette, dont les portraits semblent être inspirés de membres de leur famille. Jacqueline a entendu une bribe de la conversation. Intriguée, elle demande : b. À qui a-t-il peint le portrait qui ressemble ?",,,,,baseline,0.1
X9,a. Zoé demande à sa maîtresse : b. Pourquoi les choux sont-ils verts ?,,,,,baseline,4.7
X10,a. Jaco se désespère de ne pas trouver un article qu’elle avait laissé sur la table du salon. Elle s’indigne : b. Qui a mis de l’ordre dans mon beau désordre ?,,,,,baseline,4.4
X11,a. Le docteur Pox explique à son patient les risques du voyage qu’il veut entreprendre. Le patient demande : b. Quels sont les virus les plus dangereux ?,,,,,baseline,4.9
X12,a. Le garagiste demande à mademoiselle Violette : b. Où sont passés les clés anglaises ?,,,,,baseline,4.7
