wordPairs,English Translation,PairMeanConcreteness,clusters,assocStrength,MeanPairSimilarity,SD,min,max,median,range,skewness,Q1,Q3,primeWord,PrimeMeanConcreteness,SD,min,max,median,range,skewness,Q1,Q3,gramCat,nbletters,orthNeighbours,old20,FLP_RT,MegalexRT,MovieFrequency,BookFrequency,BlogFreqPm,TwitterFreqPm,NewsFreqPm,targetWord,TargetMeanConcreteness,SD,min,max,median,range,skewness,Q1,Q3,gramCat,nbletters,orthNeighbours,old20,FLP_RT,Megalex_RT,MovieFrequency,BookFrequency,BlogFreqPm,TwitterFreqPm,NewsFreqPm
abdiquer-abandonner,abdicate abandon,"3,51","1,00","0,02","5,32","1,51","1,00","7,00","6,00","6,00","-1,19","5,00","6,00",abdiquer,"3,41","1,76","1,00","7,00","3,00","6,00","0,91","2,00","4,00",VER,"8,00","1,00","2,25",NA,NA,"0,08","0,41","1,18","0,11","0,70",abandonner,"3,62","1,79","1,00","7,00","4,00","6,00","0,35","2,00","4,75",VER,"10,00","2,00","1,85","638,46",NA,"28,37","27,70","25,63","10,33","20,84"
abdomen-ventre,abdomen belly,"6,39","3,00","0,17","5,25","1,50","1,00","7,00","5,00","6,00","-1,24","5,00","6,00",abdomen,"6,53","0,74","4,00","7,00","7,00","3,00","-1,63","6,00","7,00",NOM,"7,00","0,00","3,00","743,92","620,03","2,76","1,55","1,67","0,11","2,75",ventre,"6,24","1,12","3,00","7,00","7,00","4,00","-1,63","6,00","7,00",NOM,"6,00","5,00","1,45","589,33","531,22","46,07","136,62","48,05","34,35","11,63"
abeille-guêpe,bee wasp,"6,72","3,00","0,04","3,95","1,79","1,00","7,00","4,00","6,00","-0,25","3,00","5,00",abeille,"6,64","0,59","5,00","7,00","7,00","2,00","-1,56","6,00","7,00",NOM,"7,00","0,00","1,95","646,83","546,92","3,53","3,18","6,61","2,49","2,08",guêpe,"6,80","0,46","5,00","7,00","7,00","2,00","-2,33","7,00","7,00",NOM,"5,00","0,00","1,95","570,08","508,10","2,73","2,84","1,49","1,01","0,41"
abolir-annuler,abolish cancel,"4,23","2,00",NA,"4,52","1,92","1,00","7,00","5,00","6,00","-0,37","3,00","6,00",abolir,"4,05","1,83","1,00","7,00","4,00","6,00","0,19","2,00","5,25",VER,"6,00","3,00","1,75","734,24","625,01","1,08","2,97","4,10","0,83","1,23",annuler,"4,42","2,17","1,00","7,00","5,00","6,00","-0,21","2,00","6,00",VER,"7,00","2,00","1,80","647,22","545,06","14,08","1,15","8,10","10,87","14,82"
absence-manque,absence lack,"3,59","1,00","0,02","4,93","1,73","1,00","7,00","6,00","6,00","-0,92","4,00","6,00",absence,"4,10","2,01","1,00","7,00","4,00","6,00","0,10","2,50","5,50",NOM,"7,00","1,00","2,20","602,42","521,49","22,02","72,50","85,21","40,28","95,25",manque,"3,08","1,83","1,00","7,00","3,00","6,00","0,85","2,00","4,00",NOM,"6,00","6,00","1,45","678,20","536,83","24,48","36,28","165,20","243,79","144,76"
abstrait-irréel,abstract unreal,"2,26","1,00",NA,"4,38","1,74","1,00","7,00","5,00","6,00","-0,36","3,00","6,00",abstrait,"2,40","1,79","1,00","7,00","2,00","6,00","1,49","1,00","3,00",VER,"8,00","1,00","2,05","711,96","625,56","0,10","1,42","5,13","1,70","1,49",irréel,"2,12","1,43","1,00","7,00","2,00","6,00","1,83","1,00","2,00",ADJ,"6,00","0,00","2,70","687,38","581,94","1,87","5,27","3,00","1,08","0,91"
absurde-ridicule,absurd ridicule,"2,51","1,00",NA,"4,84","1,33","1,00","7,00","5,00","6,00","-0,73","4,00","6,00",absurde,"2,31","1,55","1,00","6,00","2,00","5,00","1,15","1,00","3,00",ADJ,"7,00","0,00","2,55","648,39","558,00","21,56","24,80","20,78","9,36","10,99",ridicule,"2,70","1,63","1,00","7,00","2,00","6,00","1,03","2,00","4,00",ADJ,"8,00","1,00","2,45","662,74","518,19","57,05","36,49","29,33","35,00","10,14"
acceptation-accord,acceptation agreement,"3,44","1,00",NA,"4,95","1,53","1,00","7,00","5,00","6,00","-0,90","4,00","6,00",acceptation,"3,37","1,55","1,00","7,00","3,00","6,00","0,54","2,00","4,00",NOM,"11,00","0,00","2,80","652,24",NA,"1,24","4,19","10,40","2,10","3,89",accord,"3,51","1,79","1,00","7,00","4,00","6,00","0,35","2,00","4,75",NOM,"6,00","2,00","1,60","565,88","541,32","761,77","124,66","130,59","295,81","257,79"
activisme-militantisme,activism militancy,"3,20","1,00",NA,"4,59","1,79","1,00","7,00","5,00","6,00","-0,45","4,00","6,00",activisme,"3,13","1,51","1,00","6,00","3,00","5,00","0,30","2,00","4,00",NOM,"9,00","1,00","2,70",NA,NA,"0,15","0,20","2,88","0,51","1,99",militantisme,"3,27","1,74","1,00","7,00","3,00","6,00","0,52","2,00","5,00",NOM,"12,00","0,00","3,80",NA,NA,"0,06","0,74","3,31","1,16","1,70"
addition-somme,addition sum,"4,64","2,00","0,04","5,53","1,76","1,00","7,00","6,00","6,00","-1,37","5,00","7,00",addition,"4,74","2,08","1,00","7,00","5,00","6,00","-0,47","3,00","7,00",NOM,"8,00","1,00","2,10","654,61","575,55","8,24","7,36","6,49","2,71","7,77",somme,"4,55","1,77","1,00","7,00","5,00","6,00","-0,23","3,00","6,00",NOM,"5,00","8,00","1,40","614,35","508,88","28,27","72,70","63,55","24,53","65,62"
admirer-célébrer,admire celebrate,"3,52","1,00",NA,"3,09","1,50","1,00","6,00","3,00","5,00","0,17","2,00","4,00",admirer,"3,16","1,77","1,00","7,00","3,00","6,00","0,82","2,00","4,00",VER,"7,00","2,00","1,80","607,57","576,49","6,50","17,64","17,84","3,76","6,17",célébrer,"3,89","1,73","1,00","7,00","4,00","6,00","0,04","3,00","5,00",VER,"8,00","0,00","2,30","657,16","589,10","7,92","5,74","11,53","5,13","10,20"
adulte-enfant,adult child,"5,44","2,00","0,17","3,23","2,11","1,00","7,00","3,00","6,00","0,33","1,00","5,00",adulte,"4,40","2,10","1,00","7,00","5,00","6,00","-0,37","2,00","6,00",ADJ,"6,00","1,00","2,20","619,72","494,29","8,02","8,18","32,97","8,92","14,03",enfant,"6,47","1,05","3,00","7,00","7,00","4,00","-2,07","6,00","7,00",NOM,"6,00","2,00","1,65","582,84","506,68","287,26","381,96","229,00","69,10","126,50"
aérien-vaporeux,aerial misty,"3,73","1,00",NA,"4,03","1,73","1,00","7,00","4,00","6,00","-0,52","3,00","5,00",aérien,"4,21","1,80","1,00","7,00","5,00","6,00","-0,20","3,00","6,00",ADJ,"6,00","0,00","1,90","708,77","601,27","4,84","6,08","6,83","3,61","24,90",vaporeux,"3,26","1,54","1,00","6,00","3,00","5,00","0,15","2,00","4,00",ADJ,"8,00","0,00","2,85","789,19","613,76","0,04","2,30","1,06","0,18","0,20"
aéroport-gare,airport train station,"6,22","3,00",NA,"3,18","1,81","1,00","7,00","3,00","6,00","0,25","1,00","4,00",aéroport,"6,24","1,53","1,00","7,00","7,00","6,00","-2,98","6,00","7,00",NOM,"8,00","0,00","2,80","681,00","543,08","31,44","7,91","21,75","28,14","68,22",gare,"6,19","1,51","1,00","7,00","7,00","6,00","-2,96","6,00","7,00",NOM,"4,00","23,00","1,00","625,52","515,92","40,28","78,58","33,91","83,26","63,04"
affichage-présentation,display presentation,"4,40","2,00",NA,"4,35","1,52","1,00","7,00","5,00","6,00","-0,38","3,50","5,00",affichage,"4,93","1,33","2,00","7,00","5,00","5,00","-0,19","4,00","6,00",NOM,"9,00","0,00","2,45","600,00","579,35","1,29","1,42","9,83","19,04","11,87",présentation,"3,88","1,84","1,00","7,00","4,00","6,00","0,18","3,00","5,00",NOM,"12,00","0,00","2,85","628,26",NA,"5,52","4,80","46,72","85,65","42,23"
agence-bureau,agency study,"5,62","3,00",NA,"4,02","1,55","1,00","7,00","4,00","6,00","-0,35","3,00","5,00",agence,"4,92","1,48","1,00","7,00","5,00","6,00","-0,71","4,00","6,00",NOM,"6,00","2,00","1,75","674,75","564,27","20,38","14,12","44,47","114,15","184,98",bureau,"6,32","1,04","4,00","7,00","7,00","3,00","-1,44","6,00","7,00",NOM,"6,00","2,00","1,85","606,73","542,98","156,68","130,07","88,64","171,80","98,23"
agile-adroit,agile skillful,"3,53","1,00",NA,"5,19","1,89","1,00","7,00","6,00","6,00","-1,06","4,00","7,00",agile,"3,54","1,66","1,00","7,00","3,00","6,00","0,64","2,00","5,00",ADJ,"5,00","2,00","1,70","690,08","551,06","1,69","3,31","1,46","7,12","0,76",adroit,"3,53","1,38","1,00","6,00","3,00","5,00","0,25","3,00","4,25",ADJ,"6,00","0,00","1,85","780,16","655,91","1,13","3,51","0,61","0,25","1,49"
agilité-habileté,agility ability,"3,14","1,00",NA,"5,17","1,64","1,00","7,00","6,00","6,00","-1,29","5,00","6,00",agilité,"3,24","1,64","1,00","7,00","3,00","6,00","0,73","2,00","4,00",NOM,"7,00","0,00","2,30","703,59","633,11","1,00","3,31","1,40","2,31","0,99",habileté,"3,03","1,49","1,00","7,00","3,00","6,00","0,69","2,00","4,00",NOM,"8,00","1,00","2,40","690,68","619,38","2,03","10,54","3,97","0,18","1,81"
