sentences,status,target_item ,animacy,Spanish ,congruent-gender
Está feliz __ boy con su pelota. el/la,critical,boy,animate,niño,masculine
No llega __ son de Susie. el/la,critical,son,animate,hijo,masculine
Es amable __ brother de Susie. el/la,critical,brother,animate,hermano,masculine
Ya se fue __ uncle de Susie. el/la,critical,uncle,animate,tío,masculine
Está feliz __ husband de Susie. el/la,critical,husband,animate,marido,masculine
Está feliz __ grandpa. el/la,critical,grandpa,animate,abuelo,masculine
Aquí vive __ nephew de Susie. el/la,critical,nephew,animate,sobrino,masculine
Trabaja mucho __ busboy.  el/la,critical,busboy,animate,camarero,masculine
Trabaja mucho __ fireman. el/la,critical,fireman,animate,bombero,masculine
Ya llegó __ groom. el/la,critical,groom,animate,novio,masculine
Aquí vive __ girl que te ayuda. el/la,critical,girl,animate,chica,feminine
Está feliz __ daughter de Susie. el/la,critical,daughter,animate,hija,feminine
Es muy amable __ sister de Susie. el/la,critical,sister,animate,hermana,feminine
Ya llegó __ aunt de Susie. el/la,critical,aunt,animate,actor,feminine
Trabaja mucho __ wife de Lee. el/la,critical,wife,animate,esposa,feminine
Aquí vive __ grandma de Lee. el/la,critical,grandma,animate,abuela,feminine
Aquí vive __ niece de Lee. el/la,critical,niece,animate,sobrina,feminine
Todavía no llega __ waitress.  el/la ,critical,waitress,animate,camarera,feminine
Está feliz __ mother-in-law. el/la,critical,mother-in-law,animate,suegra,feminine
Ya llegó __ bride. el/la,critical,bride,animate,esposa,feminine
Aquí vive __ father de Lee. el/la,critical,father,animate,padre,masculine
Ya se fue __ man que te ayuda. el/la,critical,man,animate,hombre,masculine
Ya murió __ emperor de Roma. el/la,critical,emperor,animate,emperador,masculine
Todavía no llega __ actor. el/la,critical,actor,animate,actor,masculine
Habla mucho __ king. el/la,critical,king,animate,rey,masculine
Aquí vive __ duke. el/la,critical,duke,animate,duque,masculine
Aquí vive __ prince. el/la,critical,prince,animate,príncipe,masculine
Aquí vive __ monk del pueblo. el/la,critical,monk,animate,monje,masculine
Ya llegó __ welder. el/la,critical,welder,animate,soldador,masculine
Ya llegó __ pope. el/la,critical,pope,animate,Papa,masculine
Está feliz __ mother de Lee. el/la,critical,mother,animate,madre,feminine
